analystID,name,email,phoneNumber,teamID
1,Nikkie Fuentes,nfuentes0@squidoo.com,805-637-6126,2
2,Angela Offa,aoffa1@latimes.com,220-214-8216,4
3,Daffy Yggo,dyggo2@vkontakte.ru,206-911-2929,1
4,Ilse Torrecilla,itorrecilla3@tumblr.com,210-677-5077,4
5,Hendrick Haspineall,hhaspineall4@independent.co.uk,400-265-3696,3
6,Tammi Mably,tmably5@geocities.jp,383-655-2721,6
7,Carmencita Dunsleve,cdunsleve6@eventbrite.com,957-558-8917,3
8,Tripp Van Giffen,tvan7@google.it,961-955-8646,1
9,Jorry Pavluk,jpavluk8@uiuc.edu,368-795-2125,6
10,Sharl Marskell,smarskell9@quantcast.com,740-459-8802,2
11,Hasheem Skates,hskatesa@imdb.com,313-196-7700,1
12,Grenville Finan,gfinanb@noaa.gov,575-844-3701,1
13,Abbe Levinge,alevingec@hatena.ne.jp,217-402-7130,2
14,Gale Shurlock,gshurlockd@ca.gov,946-780-0967,6
15,Leese Brager,lbragere@bbb.org,975-882-1842,2
16,Aviva Van der Linde,avanf@businessweek.com,471-582-3082,3
17,Ingra Benterman,ibentermang@soundcloud.com,634-544-7647,1
18,Devon Laurentino,dlaurentinoh@mayoclinic.com,274-123-8697,4
19,Devina Mayer,dmayeri@wired.com,778-840-7814,3
20,Fons Badger,fbadgerj@narod.ru,669-480-5113,2
21,Orbadiah MacMakin,omacmakink@issuu.com,892-497-0811,4
22,Karin Jeandeau,kjeandeaul@alexa.com,877-323-0514,3
23,Kristofor Bischoff,kbischoffm@simplemachines.org,835-623-3438,2
24,Dunc Diperaus,ddiperausn@indiatimes.com,900-111-0074,2
25,Kania Jakovijevic,kjakovijevico@eventbrite.com,879-508-6452,2
26,Enrika Mingay,emingayp@state.gov,592-133-3620,3
27,Florinda Keywood,fkeywoodq@simplemachines.org,654-294-1062,3
28,Joela Huggens,jhuggensr@google.com.hk,912-171-4370,6
29,Peder Scarlett,pscarletts@yahoo.com,815-472-8998,3
30,Saudra Brozek,sbrozekt@nytimes.com,687-595-6067,3
31,Lesley Whordley,lwhordleyu@techcrunch.com,662-645-3234,1
32,Lauretta Sharnock,lsharnockv@pagesperso-orange.fr,803-524-5421,3
33,Ara Ducroe,aducroew@engadget.com,138-509-7953,4
34,Newton Hevey,nheveyx@uiuc.edu,521-602-2504,1
35,Dena Beddow,dbeddowy@shutterfly.com,537-247-9844,5
36,Tiena Lapthorne,tlapthornez@mozilla.org,813-851-9393,6
37,Bronnie Fulmen,bfulmen10@bing.com,557-212-2375,2
38,Madelyn Springer,mspringer11@google.es,386-996-6151,4
39,Brandyn Stopford,bstopford12@altervista.org,383-890-7385,2
40,Alyda Melly,amelly13@state.tx.us,743-390-4793,1
