playerID,name,position,gradYear,phoneNumber,jerseyNumber,teamID
1,Bordie Balfe,Forward,2025,687-657-3785,97,4
2,Monty Follan,Forward,2029,972-209-0643,81,1
3,Shellysheldon Dilon,Goalkeeper,2025,809-993-8726,61,5
4,Debera Proger,Goalkeeper,2025,127-877-4151,48,4
5,Cassie Kynan,Midfielder,2026,253-402-2297,92,6
6,Leoline Dimitrescu,Defender,2025,652-212-1602,37,3
7,Emmie Gavin,Midfielder,2026,467-403-8801,80,1
8,Nickey Lambertson,Midfielder,2029,465-911-5092,88,4
9,Mic Dorrance,Goalkeeper,2028,297-691-9411,63,6
10,Aubrey McWhannel,Midfielder,2028,448-858-9776,34,6
11,Roda Chaim,Forward,2027,752-102-4592,84,4
12,Charyl Skyrme,Midfielder,2025,727-838-9038,88,2
13,Bearnard Btham,Defender,2025,717-644-2477,74,4
14,Arlee Tuminini,Forward,2026,136-387-1034,43,5
15,Olva Badsey,Defender,2027,705-452-3649,36,1
16,Issiah Borit,Midfielder,2025,660-725-3354,44,2
17,Goraud Farmiloe,Defender,2026,305-441-3024,2,1
18,Jojo Lashbrook,Forward,2029,363-185-5730,18,5
19,Guilbert Josef,Midfielder,2029,158-681-9530,18,3
20,Emily Fraczek,Goalkeeper,2028,186-594-6458,53,5
21,Papageno Blurton,Forward,2025,572-837-4246,13,4
22,Lorrin Waite,Defender,2028,258-249-7782,58,4
23,Missie Gowthorpe,Midfielder,2026,545-149-0188,3,6
24,Edee Nelhams,Defender,2025,462-415-2984,79,3
25,Brodie Sailes,Defender,2027,904-455-7290,40,4
26,Veronika Matyugin,Defender,2029,858-445-9423,69,6
27,Irita MacTurlough,Defender,2026,331-370-5509,51,3
28,Winonah Gozard,Goalkeeper,2027,743-341-4935,53,5
29,Joleen Stabler,Midfielder,2029,663-787-7097,73,4
30,Lenard Tayloe,Goalkeeper,2029,181-135-7381,95,1
31,Alastair Causon,Defender,2027,810-103-2210,2,4
32,Cameron Downage,Goalkeeper,2027,939-139-0668,76,5
33,Glenn Gasnell,Forward,2028,979-723-7213,23,2
34,Goldie Wims,Goalkeeper,2028,170-178-3374,66,4
35,Tabbitha Paniman,Defender,2025,188-880-8195,81,1
36,Natalina Law,Defender,2027,275-618-6254,55,6
37,Donalt Fittes,Defender,2026,796-955-3609,50,6
38,Agnes Flanner,Goalkeeper,2029,773-131-4321,45,5
39,Stacy Ughi,Midfielder,2029,659-839-4703,4,3
40,Lorrayne Peel,Midfielder,2027,199-411-3847,34,5
41,Thain Patman,Goalkeeper,2025,523-456-8563,91,2
42,Arne Slide,Midfielder,2029,513-938-1778,44,4
43,Lilla Brookzie,Goalkeeper,2028,964-822-6554,45,5
44,Katinka Dowda,Midfielder,2025,748-837-5274,32,2
45,Claudelle Cummings,Forward,2029,609-988-8859,28,4
46,Teriann Hellings,Defender,2028,761-552-7970,31,5
47,Fernanda Leupoldt,Goalkeeper,2025,140-537-5725,39,3
48,Otho Rowthorn,Midfielder,2027,349-408-5426,36,6
49,Sonnnie Kirsche,Goalkeeper,2026,286-811-1693,45,6
50,Tedra Draude,Midfielder,2029,474-981-4126,27,4
51,Patrice Costock,Midfielder,2026,152-357-1905,81,5
52,Cathyleen Bossingham,Midfielder,2028,382-564-7803,13,3
53,Maynard Hendrik,Forward,2026,770-978-4784,47,5
54,Bentley Rice,Forward,2029,401-698-2956,75,6
55,Betti Bezant,Goalkeeper,2027,477-290-6005,29,5
56,Floria Morphew,Defender,2026,242-912-0618,54,4
57,Burty Peasey,Midfielder,2025,399-278-8371,22,1
58,Tricia Milward,Goalkeeper,2026,385-279-0571,68,1
59,Christyna Nealand,Goalkeeper,2025,177-297-6039,33,2
60,Aubrette Hartmann,Goalkeeper,2028,320-768-6717,65,6
61,Veronica Arnoud,Forward,2025,837-177-6840,87,6
62,Marguerite Houndson,Defender,2027,333-740-2938,88,1
63,Olwen Woodfin,Defender,2027,476-507-3273,57,3
64,Edy Spalton,Goalkeeper,2025,692-915-5585,13,3
65,Erhart Tanguy,Midfielder,2025,622-981-7582,41,5
66,Lizzie Thornewell,Midfielder,2025,597-993-4421,72,6
67,Madonna MacCaig,Forward,2025,342-715-6983,48,2
68,Candide Mathew,Midfielder,2029,308-552-7617,62,5
69,Seamus Rubrow,Forward,2025,551-702-9552,77,1
70,Jard Mustarde,Midfielder,2029,119-232-2225,73,3
71,Julianna Pherps,Forward,2029,832-463-7318,9,4
72,Bobina Crush,Defender,2026,619-182-0482,24,2
73,Karisa Bayley,Defender,2029,321-210-2324,74,1
