adminID,name,email,phoneNumber,teamID
1,Elena Ellis,eellis0@odnoklassniki.ru,161-675-1243,5
2,Linnell Tungate,ltungate1@ftc.gov,704-643-6241,2
3,Roxanna Farans,rfarans2@infoseek.co.jp,259-316-7101,6
4,Oates Wessel,owessel3@1und1.de,688-616-0631,4
5,Brandyn Gibbard,bgibbard4@homestead.com,317-175-8743,4
6,Arlan Lasham,alasham5@sphinn.com,807-894-9072,5
7,Vittorio Topper,vtopper6@tumblr.com,110-924-7883,2
8,Brannon O'Flaverty,boflaverty7@liveinternet.ru,431-436-2431,2
9,Abey Bartomeu,abartomeu8@cbc.ca,590-482-1667,3
10,Jon Clawe,jclawe9@usa.gov,524-408-6636,5
11,Llywellyn Enion,leniona@ucsd.edu,590-547-5225,6
12,Ermanno Widdowson,ewiddowsonb@latimes.com,428-138-8190,1
