analystID,name,email,phoneNumber,teamID
1,La verne Norsister,lverne0@nydailynews.com,819-840-8758,6
2,Urbano Wolpert,uwolpert1@feedburner.com,818-724-5579,2
3,Rey Mille,rmille2@abc.net.au,942-115-6271,4
4,Lanna Dominka,ldominka3@zdnet.com,537-238-0962,3
5,Ezekiel Weldrick,eweldrick4@nature.com,605-148-4573,1
6,Laurence Janczyk,ljanczyk5@trellian.com,232-608-3780,5
7,Shannan Trundler,strundler6@blinklist.com,886-784-9868,4
8,Thadeus Ezele,tezele7@mapquest.com,322-470-9645,6
9,Scottie Kinny,skinny8@indiatimes.com,514-830-0776,3
10,Godwin Conant,gconant9@storify.com,696-700-6340,1
11,Kyla Boots,kbootsa@google.es,863-129-8970,6
12,Teriann Jaukovic,tjaukovicb@tripod.com,620-978-1913,5
