coachID,name,email,phoneNumber,teamID
1,Deana Taill,dtaill0@nydailynews.com,448-416-2044,2
2,Kimmie Purdie,kpurdie1@weather.com,319-790-9807,1
3,Darnall Cringle,dcringle2@shop-pro.jp,776-554-7842,5
4,Charmine Cuerdale,ccuerdale3@foxnews.com,492-144-7199,5
5,Steffi Thackham,sthackham4@walmart.com,358-897-0246,6
6,Jilli Whitcomb,jwhitcomb5@naver.com,302-523-4062,1
7,Irv Bremen,ibremen6@java.com,536-844-9713,6
8,Mommy Skakunas,mskakunas7@altervista.org,438-431-5039,6
9,Gustave Cabell,gcabell8@craigslist.org,825-855-5531,4
10,Shaun Huyge,shuyge9@mediafire.com,815-154-8724,3
11,Cristie Saladino,csaladinoa@posterous.com,243-606-5478,4
12,Phineas Denisovo,pdenisovob@sbwire.com,874-299-7994,4
