playerID,name,position,gradYear,phoneNumber,jerseyNumber,teamID
1,Cecilia Jonk,Defender,2028,154-416-8859,16,2
2,Leontyne Arnoll,Forward,2028,666-853-8171,34,3
3,Ginny Stollsteimer,Forward,2028,572-981-3187,63,2
4,Cindi Akid,Defender,2027,103-880-7365,11,6
5,Catlaina Lyver,Midfielder,2025,570-458-5961,29,5
6,Jessamine Antrack,Forward,2027,388-682-6929,85,4
7,Patty Basant,Midfielder,2028,865-391-5968,5,3
8,Marlin Biggen,Defender,2026,356-720-0209,47,1
9,Candide Mowsley,Defender,2029,774-709-0638,36,1
10,Eudora Gladtbach,Forward,2026,434-274-9860,28,6
11,Georg Burnhard,Forward,2029,857-553-9954,59,6
12,Franky Samson,Goalkeeper,2028,761-802-1035,86,3
13,Esdras Sanney,Goalkeeper,2028,473-394-6916,7,4
14,Curtis Peterkin,Goalkeeper,2027,862-701-5404,16,1
15,Marcello Addinall,Forward,2027,898-890-7519,24,3
16,Lucretia Cothey,Defender,2025,649-245-3540,17,6
17,Mahalia Dobbson,Goalkeeper,2025,361-971-1475,91,1
18,Marlow Glaserman,Defender,2025,975-736-9192,16,5
19,Bruis Trosdall,Midfielder,2025,364-904-0023,33,2
20,Rollo Murrum,Forward,2026,392-967-7448,34,4
21,Valli Curteis,Midfielder,2027,550-125-3308,34,6
22,Cletis Crighton,Forward,2029,441-320-3384,21,1
23,Pansy Western,Defender,2028,529-313-7782,49,6
24,Vanny Varian,Defender,2025,183-899-8473,23,3
25,Lynn Latta,Forward,2028,520-761-7382,34,6
26,Boonie Stamps,Defender,2029,697-241-3364,44,3
27,Nickey Petlyura,Forward,2026,988-173-7687,32,2
28,Ernestus Servis,Goalkeeper,2025,248-412-5792,26,6
29,Nicky Lovelace,Midfielder,2027,484-966-1978,32,5
30,Chrystel Fever,Forward,2025,778-759-2351,55,5
31,Milly Shee,Defender,2027,420-107-3892,66,6
32,Bartholomeus Avory,Midfielder,2025,333-805-5640,4,3
33,Edvard Carik,Forward,2027,179-710-5323,39,4
34,Westbrook Isherwood,Defender,2026,428-536-6818,60,1
35,Kristin Hallgalley,Defender,2029,230-143-1554,53,5
36,Hastings Treppas,Defender,2027,383-996-6548,14,2
37,Joline Haly,Forward,2027,664-493-6926,71,6
38,Kitty Gush,Forward,2026,537-594-5155,74,3
39,Bernete Schrieves,Goalkeeper,2027,129-692-1487,71,6
40,Tomasina Katzmann,Defender,2025,692-395-3425,98,4
41,Daphna Kliemchen,Midfielder,2029,731-996-4457,30,2
42,Darryl Sparwell,Midfielder,2028,598-817-9445,62,1
43,Therine Mahony,Goalkeeper,2029,547-806-6790,61,5
44,Melinda Eaglesham,Forward,2027,892-613-5789,24,3
45,Arman Paolino,Goalkeeper,2029,259-995-3081,63,1
46,Albertina Stonary,Goalkeeper,2027,515-835-6221,67,2
47,Cherin Radleigh,Defender,2026,690-423-5593,45,4
48,Emeline Chater,Defender,2028,588-297-6384,21,5
